Player,Team_x,Season,Position_x,Minutes,Goals Added,Base Salary,Guaranteed Compensation
Je-Vaughn Watson,FCD,2014,W,2694,2.68,"$110,000","$126,875"
Kellyn Acosta,FCD,2017,CM,2049,2.68,"$260,000","$280,000"
Luke Mulholland,RSL,2017,DM,2102,2.68,"$172,500","$172,500"
Lawrence Olum,SKC,2016,CB,1602,2.67,"$105,000","$115,000"
Nick LaBrocca,COL,2014,CM,2790,2.67,"$135,000","$153,333"
Luke Boden,ORL,2015,FB,2415,2.67,"$75,000","$75,000"
Juan Agudelo,"CHV, NER",2013,ST,1530,2.67,"$145,000","$175,000"
Angelo Rodríguez,MIN,2018,ST,947,2.67,"$575,000","$657,188"
Maurice Edu,PHI,2015,CB,2133,2.66,"$700,000","$768,750"
Andrew Farrell,NER,2014,FB,3068,2.66,"$95,000","$176,000"
Tim Parker,NYRB,2018,CB,2858,2.66,"$97,185","$115,935"
Micheal Azira,COL,2017,CM,2781,2.66,"$110,000","$116,625"
Graham Zusi,SKC,2019,FB,2588,2.66,"$625,000","$688,333"
Keegan Rosenberry,COL,2019,FB,3377,2.66,"$151,195","$164,945"
Jahmir Hyka,SJE,2017,W,2000,2.66,"$470,004","$520,004"
Marco Delgado,TOR,2016,CM,2131,2.66,"$100,000","$102,500"
Luis Gil,RSL,2013,CM,2231,2.65,"$118,750","$213,833"
Matías Pérez García,"ORL, SJE",2016,W,1769,2.65,"$250,000","$250,000"
Seth Sinovic,SKC,2014,FB,2993,2.65,"$125,000","$131,750"
Steven Caldwell,TOR,2013,CB,2231,2.65,"$80,000","$90,000"
Robbie Rogers,LAG,2014,FB,1492,2.64,"$160,000","$167,500"
Marvell Wynne,SJE,2016,CB,2983,2.64,"$213,750","$224,375"
Víctor Bernárdez,SJE,2015,CB,2695,2.64,"$200,000","$241,600"
Oguchi Onyewu,PHI,2017,CB,2088,2.64,"$65,004","$65,004"
Jonathan Osorio,TOR,2014,W,2202,2.63,"$135,000","$142,600"
Michael Murillo,NYRB,2019,FB,1885,2.63,"$105,004","$113,754"
Teal Bunbury,NER,2017,W,1432,2.62,"$215,000","$260,000"
Andrew Farrell,NER,2013,FB,3060,2.62,"$80,000","$161,000"
Jack McInerney,POR,2016,ST,1025,2.62,"$270,000","$270,000"
Davy Arnaud,DCU,2015,CM,2079,2.62,"$212,500","$212,500"
Corey Baird,RSL,2019,W,2272,2.62,"$70,008","$70,008"
Jordan Stewart,SJE,2014,FB,2791,2.62,"$140,000","$140,000"
Daniel Lovitz,MTL,2018,FB,2883,2.61,"$86,625","$86,625"
Dillon Powers,COL,2015,AM,2376,2.61,"$245,000","$275,000"
Claude Dielna,POR,2019,CB,1226,2.6,"$560,000","$600,000"
Eric Avila,CHV,2013,W,2349,2.6,"$100,000","$120,000"
David Mateos,ORL,2016,CB,1915,2.6,"$420,000","$453,333"
Benny Feilhaber,"SKC, COL",2019,CM,1879,2.6,"$413,400","$463,400"
Valeri Qazaishvili,SJE,2017,W,844,2.6,"$1,325,004","$1,454,042"
Brad Evans,SEA,2013,CM,1902,2.6,"$167,296","$181,046"
Hernán Grana,FCD,2017,FB,2868,2.6,"$200,000","$225,500"
Ezequiel Barco,ATL,2019,W,1055,2.6,"$1,425,000","$1,425,000"
Álvaro Saborio,DCU,2016,ST,977,2.6,"$420,000","$535,500"
Kevin Doyle,COL,2017,ST,2129,2.59,"$1,000,000","$1,045,000"
Marco Delgado,TOR,2018,CM,2148,2.59,"$230,000","$230,000"
Boniek García,HOU,2018,DM,2312,2.59,"$150,000","$165,000"
Romell Quioto,HOU,2019,W,895,2.59,"$506,668","$556,501"
Sean Franklin,DCU,2014,FB,2733,2.58,"$178,333","$210,000"
Gershon Koffie,NER,2017,DM,2082,2.58,"$120,000","$120,000"
Kekuta Manneh,VAN,2016,W,1208,2.58,"$127,500","$157,000"
Ulises Segura,DCU,2018,W,1425,2.58,"$137,000","$137,000"
Jorge Villafaña,POR,2015,FB,3135,2.58,"$130,000","$135,000"
Auston Trusty,PHI,2018,CB,3315,2.58,"$80,000","$109,100"
Shea Salinas,SJE,2018,FB,1967,2.58,"$200,000","$200,000"
Andrew Jacobson,VAN,2017,CB,1832,2.57,"$150,000","$175,000"
Oriol Rosell,ORL,2018,DM,1869,2.57,"$412,500","$412,500"
Shay Facey,NYC,2015,CB,1969,2.57,"$120,000","$120,000"
Jerome Thiesson,MIN,2017,FB,3202,2.57,"$171,000","$210,167"
Fabinho,PHI,2015,FB,2260,2.57,"$114,000","$118,500"
Nick Hagglund,CIN,2019,CB,1985,2.57,"$137,504","$147,129"
Patrick Nyarko,CHI,2015,W,1294,2.56,"$200,000","$215,750"
Wil Trapp,CLB,2016,DM,2738,2.56,"$151,250","$178,250"
Reto Ziegler,FCD,2019,CB,3208,2.55,"$820,000","$870,000"
Joao Plata,RSL,2015,W,1524,2.55,"$150,000","$150,000"
Michael Parkhurst,ATL,2017,CB,3131,2.55,"$325,008","$325,008"
Héctor Villalba,ATL,2019,W,1038,2.55,"$722,500","$830,250"
Dominique Badji,COL,2016,W,1726,2.54,"$53,472","$53,472"
Keegan Rosenberry,PHI,2018,FB,3009,2.54,"$114,950","$120,763"
Mark-Anthony Kaye,LAFC,2018,CM,1720,2.54,"$70,000","$75,000"
Blas Pérez,FCD,2013,ST,2191,2.54,"$300,000","$324,250"
Steven Birnbaum,DCU,2018,CB,3355,2.54,"$500,004","$525,004"
Simon Dawkins,SJE,2016,W,2570,2.54,"$800,000","$800,000"
Aurélien Collin,SKC,2014,CB,2269,2.54,"$275,000","$281,250"
Brad Smith,SEA,2019,FB,2151,2.54,"$529,092","$549,092"
Tony Beltran,RSL,2014,FB,2692,2.54,"$186,450","$186,450"
Raymon Gaddis,PHI,2018,FB,2500,2.54,"$180,000","$182,500"
Luis Solignac,"CHI, COL",2016,ST,2328,2.53,"$85,000","$85,000"
Khaly Thiam,CHI,2016,DM,1393,2.53,"$144,000","$149,000"
Ryan Hollingshead,FCD,2016,FB,2189,2.53,"$122,500","$122,500"
Dimitry Imbongo Boele,NER,2013,ST,1140,2.53,"$90,000","$99,875"
Alexander Callens,NYC,2018,CB,2983,2.53,"$500,000","$564,000"
Jeff Larentowicz,CHI,2013,CM,3025,2.53,"$225,000","$231,000"
Jonathan Mensah,CLB,2019,CB,2372,2.52,"$800,004","$894,004"
DeAndre Yedlin,SEA,2013,FB,2946,2.52,"$50,000","$53,500"
Sebastián Saucedo,RSL,2018,W,1186,2.51,"$100,000","$110,500"
Sebastián Saucedo,RSL,2019,W,1316,2.51,"$112,500","$123,000"
Mohammed Saeid,"MIN, COL",2017,CM,2698,2.5,"$160,000","$170,000"
Wilfried Zahibo,NER,2019,DM,1667,2.5,"$513,000","$583,000"
Djordje Mihailovic,CHI,2019,DM,1608,2.5,"$111,000","$114,600"
Patrice Bernier,MTL,2017,CM,1936,2.5,"$165,000","$165,000"
Javier Morales,RSL,2016,CM,2371,2.5,"$590,000","$590,000"
Victor Ulloa,FCD,2015,DM,3125,2.5,"$60,000","$60,000"
Mauro Rosales,"VAN, CHV",2014,W,2535,2.5,"$450,000","$450,000"
Michel,FCD,2014,CM,1954,2.49,"$120,000","$141,500"
Steven Birnbaum,DCU,2016,CB,2522,2.49,"$86,350","$116,350"
Adolfo Machado,HOU,2017,CB,3231,2.49,"$200,004","$216,504"
Rod Fanni,MTL,2018,CB,2492,2.48,"$1,200,000","$1,225,000"
Sebastián Méndez,ORL,2019,DM,2002,2.48,"$450,000","$486,750"
Bakary Soumaré,"CHI, PHI",2013,CB,2348,2.48,"$310,000","$350,000"
Dániel Sallói,SKC,2018,W,2513,2.48,"$67,500","$81,625"
Jordan Hamilton,TOR,2018,ST,940,2.47,"$72,930","$100,430"
Román Torres,SEA,2019,CB,1276,2.47,"$670,000","$740,000"
Magnus Eriksson,SJE,2018,W,2684,2.47,"$400,000","$400,000"
Chris Korb,DCU,2015,FB,1561,2.47,"$99,000","$106,480"
Darren Mattocks,POR,2016,W,1006,2.46,"$215,000","$231,667"
Dániel Sallói,SKC,2019,W,1713,2.46,"$130,000","$139,625"
Lucas Janson,TOR,2018,ST,884,2.46,"$396,000","$449,000"
Chris Schuler,RSL,2014,CB,2344,2.46,"$145,000","$162,000"
Niko Hansen,CLB,2018,W,1120,2.46,"$68,250","$75,750"
Walker Zimmerman,LAFC,2019,CB,2373,2.46,"$600,000","$600,000"
Chad Marshall,SEA,2017,CB,2551,2.46,"$350,000","$366,250"
Davy Arnaud,MTL,2013,CM,1909,2.46,"$275,000","$290,000"
Tosaint Ricketts,TOR,2017,ST,1117,2.46,"$180,000","$193,167"
Sebastian Velasquez,RSL,2013,CM,1007,2.45,"$46,500","$46,500"
Lloyd Sam,DCU,2017,W,2154,2.44,"$240,000","$250,000"
Wilfried Zahibo,NER,2018,DM,2117,2.44,"$474,000","$544,000"
Taylor Kemp,DCU,2015,FB,2442,2.44,"$60,000","$60,000"
Steven Gerrard,LAG,2015,CM,1244,2.44,"$6,200,004","$6,332,504"
Erik Friberg,SEA,2016,DM,1710,2.43,"$240,000","$262,500"
Kofi Sarkodie,HOU,2014,FB,3108,2.43,"$150,000","$195,500"
Juan Agudelo,NER,2015,W,1908,2.42,"$400,000","$427,500"
Maynor Figueroa,FCD,2016,FB,2633,2.42,"$115,000","$138,333"
Gershon Koffie,VAN,2014,DM,1676,2.42,"$200,000","$211,000"
Shea Salinas,SJE,2016,W,1413,2.42,"$163,125","$166,458"
Chris Korb,DCU,2013,FB,2897,2.42,"$49,613","$49,613"
Luis Silva,RSL,2017,ST,1913,2.42,"$200,004","$208,671"
Nathan Sturgis,COL,2013,DM,2192,2.42,"$93,713","$97,963"
Juan Agudelo,NER,2017,ST,1954,2.42,"$475,000","$502,500"
Benny Feilhaber,LAFC,2018,CM,3052,2.41,"$625,000","$625,000"
Shea Salinas,SJE,2017,FB,1577,2.41,"$185,000","$185,000"
Tristan Blackmon,LAFC,2019,FB,1512,2.41,"$70,250","$72,984"
Lawrence Olum,SKC,2014,DM,2017,2.41,"$48,825","$48,825"
Marvell Wynne,COL,2014,CB,2588,2.4,"$200,000","$285,000"
Matteo Ferrari,MTL,2013,CB,3041,2.4,"$240,000","$295,475"
Yamil Asad,DCU,2018,W,2579,2.4,"$436,364","$520,523"
Boniek García,HOU,2019,DM,2831,2.4,"$168,000","$183,000"
Andrew Jacobson,FCD,2013,DM,2481,2.39,"$122,500","$135,000"
Ulises Segura,DCU,2019,W,1995,2.39,"$170,000","$184,250"
Olmes García,RSL,2015,W,1722,2.39,"$130,000","$130,000"
Darwin Cerén,"ORL, SJE",2016,CM,2299,2.39,"$150,000","$199,375"
Ian Harkes,DCU,2017,CM,2104,2.39,"$90,000","$123,238"
Keon Daniel,PHI,2013,CM,1858,2.39,"$80,004","$82,892"
Steven Beitashour,VAN,2014,FB,2558,2.39,"$170,000","$177,167"
Daniel Royer,NYRB,2017,W,2000,2.39,"$450,000","$471,667"
Andrés Flores,POR,2018,CM,1343,2.38,"$67,500","$67,500"
Kenny Miller,VAN,2013,ST,1773,2.38,"$1,114,992","$1,124,992"
Matteo Mancosu,MTL,2016,ST,851,2.38,"$189,000","$189,000"
Edgar Castillo,NER,2019,FB,1837,2.38,"$250,000","$250,000"
Ryan Johnson,POR,2013,ST,1898,2.38,"$144,704","$144,704"
Robinho,"ORL, CLB",2019,W,1456,2.37,"$198,000","$205,500"
Cristhian Paredes,POR,2019,DM,1813,2.37,"$252,000","$283,500"
Cordell Cato,SJE,2014,W,1738,2.37,"$50,400","$50,400"
Darlington Nagbe,ATL,2018,CM,2160,2.37,"$605,000","$620,000"
Cristian Cásseres Jr,NYRB,2019,DM,1991,2.36,"$80,000","$118,750"
Lawrence Olum,POR,2017,CB,2324,2.36,"$142,500","$157,500"
Auro,TOR,2018,FB,1548,2.36,"$200,004","$272,504"
Olmes García,RSL,2013,ST,1136,2.36,"$120,000","$120,000"
Lucas Melano,POR,2015,W,781,2.36,"$799,992","$799,992"
Diego Fagundez,NER,2014,W,2308,2.36,"$110,000","$137,200"
Jonathan Mensah,CLB,2018,CB,2550,2.36,"$774,996","$868,996"
Roger Espinoza,SKC,2015,CM,1595,2.35,"$750,000","$750,000"
A.J. DeLaGarza,LAG,2014,FB,2680,2.35,"$132,500","$155,000"
Scott Caldwell,NER,2016,DM,2790,2.35,"$100,000","$110,000"
Kendall Waston,VAN,2017,CB,2429,2.35,"$350,000","$368,125"
Tim Parker,VAN,2017,CB,3103,2.34,"$80,850","$99,600"
Blas Pérez,FCD,2014,ST,2264,2.34,"$335,000","$359,250"
Fabinho,PHI,2017,FB,2041,2.34,"$159,759","$167,759"
Zdenek Ondrasek,FCD,2019,ST,860,2.33,"$400,000","$522,250"
Seth Sinovic,SKC,2013,FB,3019,2.33,"$90,000","$96,750"
Cristián Maidana,HOU,2016,AM,1831,2.33,"$223,850","$237,600"
Jorge Villafaña,POR,2014,FB,1721,2.33,"$72,765","$74,432"
Tsubasa Endoh,TOR,2016,CM,1489,2.33,"$51,500","$51,500"
Miguel Ibarra,MIN,2018,W,2960,2.32,"$300,000","$332,322"
Michael Murillo,NYRB,2017,CB,1440,2.32,"$65,004","$73,754"
Matt Besler,SKC,2014,CB,2317,2.32,"$600,000","$633,250"
Luke Mulholland,RSL,2016,CM,2204,2.32,"$160,008","$160,008"
Igor Julião,SKC,2014,FB,2157,2.31,"$48,500","$48,500"
Mohamed El-Munir,ORL,2018,FB,2282,2.31,"$175,000","$192,833"
Will Johnson,ORL,2018,FB,2364,2.31,"$434,004","$470,004"
Olmes García,RSL,2014,ST,1319,2.31,"$125,000","$125,000"
Chris Duvall,MTL,2017,FB,2374,2.3,"$70,875","$70,875"
Brian White,NYRB,2019,ST,1452,2.3,"$57,225","$57,225"
Andrew Wenger,MTL,2013,ST,985,2.3,"$120,000","$222,000"
Chris Wondolowski,SJE,2018,ST,2511,2.3,"$800,000","$800,000"
Tony Beltran,RSL,2013,FB,2408,2.29,"$166,800","$166,800"
Andrea Pirlo,NYC,2015,DM,1150,2.29,"$2,000,004","$2,315,694"
Ethan Finlay,MIN,2019,W,2120,2.29,"$400,008","$400,008"
Fafa Picault,PHI,2019,ST,2051,2.29,"$160,000","$173,667"
Marc Burch,COL,2016,FB,2636,2.29,"$120,000","$120,000"
Nick DeLeon,TOR,2019,W,2030,2.29,"$159,528","$175,270"
Eddie Johnson,DCU,2014,ST,2089,2.29,"$505,000","$613,333"
Jelle Van Damme,LAG,2017,CB,1608,2.28,,
Lee Young-Pyo,VAN,2013,FB,2970,2.28,"$196,900","$231,100"
Steven Beitashour,SJE,2013,FB,2630,2.28,"$49,613","$49,613"
Matías Laba,VAN,2015,DM,2715,2.28,"$325,000","$325,000"
Liam Ridgewell,POR,2017,CB,1369,2.28,"$615,000","$615,000"
Tommy McNamara,NYC,2015,W,1430,2.28,"$60,000","$71,500"
Álvaro Saborio,RSL,2014,ST,1254,2.28,"$360,000","$453,333"
Ronald Matarrita,NYC,2016,FB,2145,2.27,"$150,000","$175,000"
Chad Marshall,SEA,2014,CB,3011,2.27,"$270,000","$286,667"
Rudy Camacho,MTL,2019,CB,1601,2.27,"$700,000","$749,153"
Scott Caldwell,NER,2017,CM,2367,2.27,"$115,000","$125,000"
Tomás Martínez,HOU,2019,AM,2508,2.26,"$335,004","$517,929"
Luis Caicedo,NER,2018,CM,2826,2.26,"$300,000","$300,000"
Samuel Armenteros,POR,2018,ST,1740,2.26,"$600,000","$608,333"
Nick Hagglund,TOR,2018,CB,1570,2.26,"$125,004","$134,629"
Corey Baird,RSL,2018,ST,2076,2.26,"$54,504","$54,504"
Blas Pérez,FCD,2015,ST,1401,2.26,"$350,000","$374,250"
Florian Valot,NYRB,2018,W,1239,2.26,"$67,500","$71,136"
Diego Fagundez,NER,2015,W,1896,2.26,"$125,000","$152,200"
Judson,SJE,2019,DM,2076,2.26,"$300,000","$305,000"
Kim Kee-hee,SEA,2018,CB,2655,2.26,"$500,004","$632,004"
Harold Cummings,SJE,2018,CB,2032,2.26,"$249,996","$300,663"
Bobby Burling,CHV,2014,CB,1953,2.26,"$115,000","$122,500"
Kyle Beckerman,RSL,2016,DM,2552,2.25,"$675,000","$750,000"
Omar Cummings,HOU,2014,ST,1391,2.25,"$250,000","$264,000"
Andrew Driver,HOU,2013,CM,1846,2.25,"$95,000","$95,000"
Bakary Soumaré,CHI,2014,CB,2461,2.25,"$330,000","$370,000"
Heath Pearce,MTL,2014,CB,1970,2.25,"$100,000","$100,000"
Chris Rolfe,"CHI, DCU",2014,W,1872,2.25,"$210,000","$225,000"
Quincy Amarikwa,SJE,2016,ST,1802,2.25,"$247,000","$260,667"
Lucas Pittinari,COL,2015,DM,2432,2.25,"$190,000","$210,000"
Nick DeLeon,DCU,2016,CM,2705,2.25,"$235,000","$235,000"
Alexander Ring,NYC,2017,CM,2807,2.24,"$340,000","$381,667"
Kofi Sarkodie,HOU,2013,FB,3178,2.24,"$100,000","$145,500"
Nicolás Lodeiro,SEA,2016,AM,1262,2.24,"$1,371,429","$1,743,429"
Kim Kee-hee,SEA,2019,CB,2889,2.24,"$640,000","$772,000"
Chris Pontius,DCU,2015,W,1661,2.24,"$365,000","$396,000"
Lamar Neagle,SEA,2015,W,2161,2.24,"$165,000","$167,833"
Michael Boxall,MIN,2019,CB,2820,2.24,"$300,000","$317,333"
Adama Diomande,LAFC,2018,ST,1365,2.24,"$850,000","$935,000"
Tyrone Mears,SEA,2016,FB,3044,2.23,"$175,000","$184,000"
Chris Tierney,NER,2013,FB,2558,2.23,"$82,266","$83,932"
Ken Tribbett,PHI,2016,CB,1881,2.23,"$51,500","$51,500"
Nat Borchers,RSL,2013,CB,2741,2.23,"$200,004","$211,973"
Andrés Romero,MTL,2015,W,1987,2.23,"$100,000","$100,000"
Greg Garza,ATL,2017,FB,2323,2.23,"$150,000","$150,000"
Stefan Ishizaki,LAG,2015,W,1731,2.23,,
Atiba Harris,COL,2013,W,2180,2.22,"$165,000","$173,275"
Octavio Rivero,VAN,2016,ST,810,2.22,,
Sal Zizzo,NYRB,2017,FB,1792,2.22,"$110,000","$110,000"
Jairo Arrieta,CLB,2014,ST,1352,2.22,"$135,000","$135,000"
Jean-Baptiste Pierazzi,SJE,2014,CM,2108,2.22,"$240,000","$240,000"
Taylor Kemp,DCU,2017,FB,2133,2.22,"$120,000","$120,000"
Jonathan Osorio,TOR,2019,DM,1925,2.22,"$750,000","$776,250"
Sanna Nyassi,MTL,2013,W,1277,2.21,"$140,000","$147,625"
Marco Ureña,LAFC,2018,ST,1121,2.21,"$279,996","$294,413"
Daniel Lovitz,MTL,2017,FB,1919,2.21,"$78,750","$78,750"
DaMarcus Beasley,HOU,2016,FB,2117,2.21,"$750,000","$813,333"
Marco Donadel,MTL,2015,DM,2135,2.21,"$190,004","$226,671"
Nuno Coelho,SKC,2016,CB,1768,2.2,"$275,000","$412,500"
Brooks Lennon,RSL,2019,FB,1735,2.2,"$230,004","$242,587"
Andrew Wenger,HOU,2016,W,2226,2.2,"$190,000","$190,000"
RJ Allen,NYC,2016,FB,1885,2.2,"$63,000","$63,000"
Matt Hedges,FCD,2013,CB,3033,2.19,"$49,500","$64,500"
Marco Ureña,SJE,2017,ST,1859,2.19,"$275,004","$289,421"
Jermaine Jones,LAG,2017,DM,1721,2.19,"$600,000","$722,500"
Nat Borchers,RSL,2014,CB,3096,2.18,"$225,000","$236,969"
Tony Beltran,RSL,2017,FB,1960,2.18,"$220,000","$230,950"
Cristian Colmán,FCD,2017,ST,1071,2.18,"$300,000","$385,000"
Sebastian Lletget,LAG,2015,W,1533,2.18,"$95,000","$100,500"
Julio Cascante,POR,2018,CB,1921,2.18,"$150,000","$150,000"
Collen Warner,TOR,2015,DM,1907,2.18,"$129,937","$157,437"
Bradley Wright-Phillips,NYRB,2019,ST,1276,2.18,"$1,200,000","$1,380,000"
Zach Loyd,FCD,2015,CB,2577,2.17,"$175,000","$196,667"
Aaron Long,NYRB,2018,CB,3083,2.17,"$73,125","$73,125"
Matt Hedges,FCD,2017,CB,2624,2.17,"$399,996","$424,996"
Diego Fagundez,NER,2019,W,1291,2.17,"$185,000","$205,000"
Jordan Harvey,VAN,2016,FB,2721,2.17,"$165,000","$165,000"
Chris Wingert,NYC,2015,FB,2340,2.17,"$215,000","$215,000"
Brandon Barklage,NYRB,2013,FB,1878,2.16,"$65,000","$71,429"
Seb Hines,ORL,2015,CB,2082,2.16,"$108,576","$109,826"
Jámison Olave,NYRB,2013,CB,2562,2.16,"$275,000","$325,000"
Álvaro Saborio,"RSL, DCU",2015,ST,1996,2.16,"$400,000","$493,333"
Will Bruin,SEA,2018,ST,1973,2.16,"$350,000","$351,667"
Antonio Mlinar Delamea,NER,2017,CB,2734,2.16,"$400,008","$400,008"
Víctor Bernárdez,SJE,2014,CB,2415,2.16,"$100,008","$141,608"
Kofi Opare,DCU,2017,CB,2395,2.16,"$105,000","$120,000"
Román Torres,SEA,2017,CB,1912,2.15,"$433,000","$508,813"
Steven Birnbaum,DCU,2015,CB,1962,2.15,"$66,000","$96,000"
Chris Pontius,DCU,2013,W,1877,2.15,"$330,000","$361,000"
Joe Corona,LAG,2019,CM,2544,2.15,"$550,000","$578,500"
Steven Beitashour,LAFC,2018,FB,2880,2.15,"$275,000","$298,375"
Adam Jahn,SJE,2013,ST,1196,2.14,"$35,125","$35,125"
Sam Vines,COL,2019,FB,2378,2.14,"$80,000","$81,250"
José Villarreal,LAG,2013,ST,1199,2.14,"$46,500","$48,375"
Dillon Powers,"ORL, COL",2017,CM,1413,2.14,"$295,000","$325,000"
Dominique Badji,FCD,2019,W,2204,2.14,"$200,000","$206,250"
Enzo Martínez,COL,2018,CM,1560,2.14,"$67,500","$67,500"
Jimmy Medranda,SKC,2016,FB,2110,2.14,"$63,000","$63,000"
Juan Luis Anangonó,CHI,2013,ST,906,2.14,"$120,000","$120,000"
Tim Parker,NYRB,2019,CB,2649,2.14,"$738,200","$752,200"
Russell Teibert,VAN,2013,W,1927,2.13,"$60,000","$65,600"
Matthew Watson,VAN,2013,CM,1384,2.13,"$68,250","$79,252"
Austin Berry,CHI,2013,CB,3300,2.13,"$63,425","$78,425"
Mauro Díaz,FCD,2017,AM,1202,2.13,"$784,000","$880,890"
Tyrone Mears,SEA,2015,FB,3180,2.13,"$165,000","$174,000"
Ricardo Clark,HOU,2014,CM,2244,2.13,"$288,000","$321,750"
Vicente Sánchez,COL,2014,W,1083,2.12,"$210,000","$286,667"
Harry Shipp,CHI,2014,W,2529,2.12,"$70,000","$95,000"
Maxime Chanot,NYC,2019,CB,3111,2.12,"$650,000","$650,000"
Ilsinho,PHI,2016,W,1401,2.12,"$430,000","$478,333"
Emanuel Pogatetz,CLB,2015,CB,1589,2.12,"$250,000","$262,500"
Gianluca Busio,SKC,2019,CM,1053,2.12,"$90,000","$92,500"
Jairo Arrieta,CLB,2013,ST,2003,2.12,"$216,000","$225,375"
Jack McBean,COL,2018,ST,1165,2.12,"$68,906","$68,906"
Laurent Ciman,MTL,2016,CB,2686,2.12,"$630,000","$661,667"
Boniek García,HOU,2015,W,1558,2.12,"$245,000","$303,750"
Matthew Watson,CHI,2014,CM,2207,2.11,"$71,663","$82,665"
Joseph Mora,DCU,2018,FB,2752,2.11,"$90,000","$104,250"
Tim Cahill,NYRB,2014,CM,1640,2.11,"$3,500,000","$3,625,000"
Baggio Husidic,LAG,2015,W,2064,2.11,"$125,000","$125,000"
Luis Solignac,CHI,2017,W,2318,2.1,"$275,000","$328,312"
Bryan Acosta,FCD,2019,DM,2313,2.1,"$600,000","$650,000"
Atiba Harris,FCD,2016,FB,2152,2.1,"$143,000","$143,000"
Milton Valenzuela,CLB,2018,FB,2763,2.09,"$282,000","$313,300"
Sheanon Williams,"PHI, HOU",2015,FB,2617,2.09,"$145,000","$150,500"
Quincy Amarikwa,CHI,2013,W,377,2.08,"$46,500","$46,500"
Andrés Escobar,FCD,2014,W,1720,2.08,"$625,000","$647,000"
Gustav Svensson,SEA,2019,DM,1981,2.07,"$570,000","$600,000"
Roy Miller,POR,2017,CB,2473,2.07,"$150,000","$150,000"
Micheal Azira,"MTL, CHI",2019,CM,1842,2.07,"$140,000","$146,625"
Robbie Findley,TOR,2015,W,1571,2.07,"$225,000","$255,500"
Alexander Callens,NYC,2019,CB,2398,2.07,"$600,000","$664,000"
Gershon Koffie,NER,2016,DM,1665,2.06,"$250,000","$261,000"
Marco Fabián,PHI,2019,AM,1383,2.06,"$2,000,727","$2,274,087"
Sean Davis,NYRB,2017,DM,1947,2.06,"$110,000","$127,500"
Justen Glad,RSL,2019,CB,2252,2.06,"$345,000","$366,700"
Dillon Powers,COL,2014,CM,2487,2.06,"$95,150","$127,650"
Scott Caldwell,NER,2013,DM,2369,2.06,"$46,500","$54,000"
Ryan Hollingshead,FCD,2015,FB,2327,2.05,"$60,000","$60,000"
Richard Eckersley,TOR,2013,FB,1545,2.05,"$210,000","$310,000"
A.J. Soares,NER,2014,CB,3029,2.05,"$119,180","$159,180"
Ike Opara,SKC,2018,CB,3052,2.05,"$325,000","$342,917"
Russell Teibert,VAN,2019,CM,2380,2.05,"$170,000","$190,000"
Tesho Akindele,FCD,2015,W,1648,2.04,"$70,000","$87,500"
Scott Caldwell,NER,2015,DM,3103,2.04,"$60,000","$67,500"
Brian Carroll,PHI,2013,CM,3224,2.04,"$176,400","$176,400"
Josh Williams,CLB,2013,FB,2487,2.04,"$52,313","$52,313"
Maxime Chanot,NYC,2017,CB,1845,2.04,"$350,000","$383,000"
Perry Kitchen,DCU,2014,CM,3024,2.04,"$143,500","$228,950"
Frédéric Brillant,NYC,2016,CB,3015,2.04,"$260,000","$299,667"
Kevin Doyle,COL,2015,ST,1609,2.04,"$1,125,000","$1,170,000"
Harrison Afful,CLB,2019,FB,2103,2.03,"$288,100","$363,800"
Kekuta Manneh,VAN,2013,W,879,2.03,"$55,000","$84,500"
Mike Magee,LAG,2016,W,1605,2.03,"$250,000","$250,000"
Kyle Beckerman,RSL,2015,DM,2529,2.03,"$625,000","$700,000"
Allan Cruz,CIN,2019,W,1887,2.03,"$300,000","$333,125"
Carlos Gruezo,FCD,2018,DM,2769,2.03,"$595,000","$730,750"
Matías Laba,VAN,2016,DM,2932,2.03,"$560,000","$720,500"
Tony Tchani,VAN,2017,DM,2259,2.03,"$275,000","$308,333"
Nélson Haedo Valdez,SEA,2016,ST,1012,2.03,"$1,200,000","$1,455,000"
David Horst,HOU,2015,CB,2815,2.03,"$78,750","$81,500"
Andrew Jean Baptiste,POR,2013,CB,2343,2.03,"$65,000","$80,000"
Bradford Rusin,VAN,2013,CB,1507,2.03,"$120,000","$120,000"
Lucas Venuto,VAN,2019,W,1273,2.03,,
Tommy McNamara,NYC,2017,W,1688,2.03,"$185,000","$185,000"
Jack Jewsbury,POR,2013,FB,2397,2.02,"$185,000","$194,750"
Patrick Nyarko,CHI,2014,W,904,2.02,"$265,000","$284,500"
Eduard Atuesta,LAFC,2018,DM,1670,2.02,"$450,000","$468,000"
Liam Ridgewell,POR,2014,CB,1467,2.02,"$1,200,000","$1,200,000"
Chris Wingert,RSL,2017,FB,1876,2.02,"$134,004","$145,394"
Perry Kitchen,DCU,2015,CM,3064,2.01,"$172,000","$257,450"
Justin Morrow,TOR,2019,FB,2568,2.01,"$330,000","$330,000"
Emmanuel Boateng,LAG,2016,W,1672,2.01,"$100,000","$100,000"
Joseph Mora,DCU,2019,FB,1753,2.01,"$150,000","$164,250"
Fanendo Adi,POR,2018,ST,907,2.01,"$1,275,000","$1,933,333"
Leonardo Bertone,CIN,2019,DM,2263,2.0,"$450,000","$496,667"
Héctor Jiménez,LAG,2013,W,1276,1.99,"$46,500","$46,500"
